gene_id	gene_name	ERR229537_Hco_A_REP1	ERR229538_Hco_A_REP2	ERR229539_Hco_A_REP3	ERR229540_Hco_M_REP1	ERR229541_Hco_M_REP2	ERR229542_Hco_M_REP3
HCON_00003890	HCON_00003890	0	1	3	399	526	547
HCON_00003900	HCON_00003900	0	0	0	0	0	0
HCON_00003910	HCON_00003910	0	0	0	1	0	0
HCON_00003920	HCON_00003920	0	0	0	1	1	2
HCON_00003930	HCON_00003930	620	682	599	300	254	313
HCON_00003940	HCON_00003940	669	810	687	2229	2145	2313
HCON_00003950	HCON_00003950	0	0	0	0	0	0
HCON_00003960	HCON_00003960	271.289	338.752	291.918	88.581	58.268	0
HCON_00003965	HCON_00003965	1	1	1	1	2	1
HCON_00003970	HCON_00003970	954	1244	932	448	419	441
HCON_00003980	HCON_00003980	185	214	190	61	62	50
HCON_00003985	HCON_00003985	356	483	367	1375	1366	1493
HCON_00003990	HCON_00003990	6	4	5	14	9	12
HCON_00004000	HCON_00004000	229	321	232	202	228	174
HCON_00004010	HCON_00004010	1608	1986	1448	592	576	564
HCON_00004020	HCON_00004020	1621	1861	1536	754	898	768
HCON_00004030	HCON_00004030	453	575	429	388	405	391
HCON_00004040	HCON_00004040	138	206	129	46	37	44
HCON_00004050	HCON_00004050	9	27	30	29	39	44
HCON_00004060	HCON_00004060	2882	3293	2555	2950	3062	3004
HCON_00004065	HCON_00004065	0	1	1	0	0	0
HCON_00004070	HCON_00004070	21	28	18	37	32	27
HCON_00004075	HCON_00004075	0	0	0	0	0	0
HCON_00004080	HCON_00004080	0	0	0	3	2	4
HCON_00004090	HCON_00004090	0	0	0	0	0	0
HCON_00004100	HCON_00004100	0	0	0	0	0	0
HCON_00004110	HCON_00004110	12	17	8	1	0	1
HCON_00004120	HCON_00004120	473	530	403	413	417	428
HCON_00004130	HCON_00004130	49	67	49	26	30	36
HCON_00004140	HCON_00004140	0	18.938	11.446	34.335	0	0
HCON_00004150	HCON_00004150	36	53	39	12	11	10
HCON_00004160	HCON_00004160	1.192	0	2	4.503	7	7
HCON_00004170	HCON_00004170	2.808	3	0	3.497	0	0
HCON_00004190	HCON_00004190	188	227	203	684	558	564
HCON_00004200	HCON_00004200	41	54	38	16	12	5
HCON_00004210	HCON_00004210	3	7	9	737.999	886	928
HCON_00004220	HCON_00004220	1	2	0	1	0	3
HCON_00004230	HCON_00004230	1	0	0	1	2.326	1.136
HCON_00004240	HCON_00004240	0	0	1	2	1	4.002
HCON_00004250	HCON_00004250	0	0	0	17	32	25
HCON_00004260	HCON_00004260	0	1	3	913	1075	1032
HCON_00004270	HCON_00004270	0	2	2	618	864.999	750
HCON_00004280	HCON_00004280	9	15	11	27	31	26
HCON_00004290	HCON_00004290	24	20	30	18	11	20
HCON_00004300	HCON_00004300	1129	1334	1060	423	362	441
HCON_00004310	HCON_00004310	1479	2189	1857	3914	4293	4419
HCON_00004320	HCON_00004320	521	658	514	593	543	554
HCON_00004330	HCON_00004330	272.446	325.877	300.613	227.056	243.448	204.745
HCON_00004340	HCON_00004340	14.554	7.123	11.387	5.944	4.552	2.255
HCON_00004350	HCON_00004350	294	316	252	99	93	79
HCON_00004370	HCON_00004370	87	141	92	82	80	90
HCON_00004380	HCON_00004380	612	709	497	264	269	283
HCON_00004390	HCON_00004390	20	30	13	6	12	6
HCON_00004400	HCON_00004400	19	33	24	23	21	25
HCON_00004410	HCON_00004410	253	345	234	533	603	586
HCON_00004420	HCON_00004420	1	0	0	2	2	1
HCON_00004430	HCON_00004430	34	37	30	90	113	128
HCON_00004440	HCON_00004440	322	369	279	108	100	74
HCON_00004450	PGP-A	520	639	460	259	201	236
HCON_00004460	HCON_00004460	1	1	2	479	707.001	632
HCON_00004480	HCON_00004480	853	1119	762	558	597	568
HCON_00004490	HCON_00004490	243	301	242	219	195	211
HCON_00004500	HCON_00004500	48	61	44	34	41	41
HCON_00004510	HCON_00004510	0	0	0	0	3	0
HCON_00004530	HCON_00004530	0	0	1	2	1	2
HCON_00004535	HCON_00004535	1	0	2	2	1	2
HCON_00004540	HCON_00004540	16	26	23	136	191	188
HCON_00004550	HCON_00004550	770	978	728	327	310	353
HCON_00004560	HCON_00004560	965	1194	964	544	632	545
HCON_00004580	HCON_00004580	104	118	141	295	316	328
HCON_00004590	HCON_00004590	222	227	227	749	591	567
HCON_00004600	HCON_00004600	1	1	0	2	5	2
HCON_00004610	HCON_00004610	13	12	10	7	8	5
HCON_00004620	HCON_00004620	11	17	17	57	45	69
HCON_00004630	HCON_00004630	124	122	152	783	910	834
HCON_00004640	HCON_00004640	0	0	0	5	7	6
HCON_00004650	HCON_00004650	1676	1857	1490	734	753	695
HCON_00004660	HCON_00004660	0	1	0	31	32	36
HCON_00004670	HCON_00004670	0	0	0	0	0	0
HCON_00004690	HCON_00004690	0	1	0	5	0	2
HCON_00004700	HCON_00004700	2	8	5	207	199	221
HCON_00004710	HCON_00004710	306	335	324	1007	804	907
HCON_00004730	HCON_00004730	18	14	12	115	155	124
HCON_00004750	HCON_00004750	429	490	441	1053	968	937
